,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
0,200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,lamarcus-aldridge,1985-07-19T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-11,250,14,,Center-Forward,Inactive,Y,0,,,,,lamarcus_aldridge,2006,2020,N,Y,Y,2006,1,2
1,1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,jarrett-allen,1998-04-21T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-11,243,3,31,Center,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jarrett_allen,2017,2020,N,Y,Y,2017,1,22
2,1628971,Bruce,Brown,Bruce Brown,"Brown, Bruce",B. Brown,bruce-brown,1996-08-15T00:00:00,Miami,USA,Miami/USA,6-4,202,2,1,Guard-Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,bruce_brown,2018,2020,Y,Y,Y,2018,2,42
3,1629185,Chris,Chiozza,Chris Chiozza,"Chiozza, Chris",C. Chiozza,chris-chiozza,1995-11-21T00:00:00,Florida,USA,Florida/USA,5-11,175,2,4,Guard,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,chris_chiozza,2018,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
4,1629651,Nicolas,Claxton,Nicolas Claxton,"Claxton, Nicolas",N. Claxton,nicolas-claxton,1999-04-17T00:00:00,Georgia,USA,Georgia/USA,6-11,215,1,33,Forward-Center,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,nicolas_claxton,2019,2020,Y,Y,Y,2019,2,31
5,1629076,Tyler,Cook,Tyler Cook,"Cook, Tyler",T. Cook,tyler-cook,1997-09-23T00:00:00,Iowa,USA,Iowa/USA,6-8,255,1,25,Forward,Active,Y,1610612765,Pistons,DET,pistons,Detroit,tyler_cook,2019,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
6,203915,Spencer,Dinwiddie,Spencer Dinwiddie,"Dinwiddie, Spencer",S. Dinwiddie,spencer-dinwiddie,1993-04-06T00:00:00,Colorado,USA,Colorado/USA,6-5,215,6,26,Guard,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,spencer_dinwiddie,2014,2020,Y,Y,Y,2014,2,38
7,201142,Kevin,Durant,Kevin Durant,"Durant, Kevin",K. Durant,kevin-durant,1988-09-29T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-10,240,12,7,Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,kevin_durant,2007,2020,N,Y,Y,2007,1,2
8,201145,Jeff,Green,Jeff Green,"Green, Jeff",J. Green,jeff-green,1986-08-28T00:00:00,Georgetown,USA,Georgetown/USA,6-8,235,12,8,Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,jeff_green,2007,2020,N,Y,Y,2007,1,5
9,201933,Blake,Griffin,Blake Griffin,"Griffin, Blake",B. Griffin,blake-griffin,1989-03-16T00:00:00,Oklahoma,USA,Oklahoma/USA,6-9,250,10,2,Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,blake_griffin,2009,2020,N,Y,Y,2009,1,1
10,201935,James,Harden,James Harden,"Harden, James",J. Harden,james-harden,1989-08-26T00:00:00,Arizona State,USA,Arizona State/USA,6-5,220,11,13,Guard,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,james_harden,2009,2020,N,Y,Y,2009,1,3
11,203925,Joe,Harris,Joe Harris,"Harris, Joe",J. Harris,joe-harris,1991-09-06T00:00:00,Virginia,USA,Virginia/USA,6-6,220,6,12,Guard-Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,joe_harris,2014,2020,Y,Y,Y,2014,2,33
12,202681,Kyrie,Irving,Kyrie Irving,"Irving, Kyrie",K. Irving,kyrie-irving,1992-03-23T00:00:00,Duke,Australia,Duke/Australia,6-2,195,9,11,Guard,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,kyrie_irving,2011,2020,N,Y,Y,2011,1,1
13,1628455,Mike,James,Mike James,"James, Mike",A. James,mike-james,1990-08-18T00:00:00,Lamar,USA,Lamar/USA,6-1,175,1,55,Guard,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,mike_james,2017,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
14,1628993,Alize,Johnson,Alize Johnson,"Johnson, Alize",A. Johnson,alize-johnson,1996-04-22T00:00:00,Missouri State,USA,Missouri State/USA,6-7,212,2,24,Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,alize_johnson,2018,2020,Y,Y,Y,2018,2,50
15,204020,Tyler,Johnson,Tyler Johnson,"Johnson, Tyler",T. Johnson,tyler-johnson,1992-05-07T00:00:00,Fresno State,USA,Fresno State/USA,6-3,186,6,10,Guard,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,tyler_johnson,2014,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
16,201599,DeAndre,Jordan,DeAndre Jordan,"Jordan, DeAndre",D. Jordan,deandre-jordan,1988-07-21T00:00:00,Texas A&M,USA,Texas A&M/USA,6-11,265,12,6,Center,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,deandre_jordan,2008,2020,N,Y,Y,2008,2,35
17,1629066,Rodions,Kurucs,Rodions Kurucs,"Kurucs, Rodions",R. Kurucs,rodions-kurucs,1998-02-05T00:00:00,                                   ,Latvia,FC Barcelona/Latvia,6-9,228,2,,Forward,Inactive,Y,0,,,,,rodions_kurucs,2018,2020,Y,Y,Y,2018,2,40
18,1627747,Caris,LeVert,Caris LeVert,"LeVert, Caris",C. LeVert,caris-levert,1994-08-25T00:00:00,Michigan,USA,Michigan/USA,6-6,205,4,22,Guard,Active,Y,1610612754,Pacers,IND,pacers,Indiana,caris_levert,2016,2020,N,Y,Y,2016,1,20
19,1627789,Timothe,Luwawu-Cabarrot,Timothe Luwawu-Cabarrot,"Luwawu-Cabarrot, Timothe",T. Luwawu-Cabarrot,timothe-luwawu-cabarrot,1995-05-09T00:00:00,Mega Basket,France,Mega Basket/France,6-7,220,4,9,Guard-Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,timothe_luwawu-cabarrot,2016,2020,Y,Y,Y,2016,1,24
20,203658,Norvel,Pelle,Norvel Pelle,"Pelle, Norvel",N. Pelle,norvel-pelle,1993-02-03T00:00:00,Iona,USA,Iona/USA,6-10,231,1,14,Center,Active,Y,1610612752,Knicks,NYK,knicks,New York,norvel_pelle,2019,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
21,1629617,Reggie,Perry,Reggie Perry,"Perry, Reggie",R. Perry,reggie-perry,2000-03-21T00:00:00,Mississippi State,USA,Mississippi State/USA,6-8,250,0,0,Forward-Center,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,reggie_perry,2020,2020,Y,Y,Y,2020,2,57
22,1627752,Taurean,Prince,Taurean Prince,"Prince, Taurean",T. Prince,taurean-prince,1994-03-22T00:00:00,Baylor,USA,Baylor/USA,6-7,218,4,12,Forward,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,taurean_prince,2016,2020,Y,Y,Y,2016,1,12
23,203460,Andre,Roberson,Andre Roberson,"Roberson, Andre",A. Roberson,andre-roberson,1991-12-04T00:00:00,Colorado,USA,Colorado/USA,6-7,210,6,,Guard-Forward,Inactive,Y,0,,,,,andre_roberson,2013,2020,Y,Y,Y,2013,1,26
24,1629013,Landry,Shamet,Landry Shamet,"Shamet, Landry",L. Shamet,landry-shamet,1997-03-13T00:00:00,Wichita State,USA,Wichita State/USA,6-4,190,2,20,Guard,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,landry_shamet,2018,2020,N,Y,Y,2018,1,26
25,202697,Iman,Shumpert,Iman Shumpert,"Shumpert, Iman",I. Shumpert,iman-shumpert,1990-06-26T00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-5,212,9,,Guard,Inactive,Y,0,,,,,iman_shumpert,2011,2020,N,Y,Y,2011,1,17
26,203943,Noah,Vonleh,Noah Vonleh,"Vonleh, Noah",N. Vonleh,noah-vonleh,1995-08-24T00:00:00,Indiana,USA,Indiana/USA,6-10,257,6,,Forward,Inactive,Y,0,,,,,noah_vonleh,2014,2020,Y,Y,Y,2014,1,9
27,203115,Will,Barton,Will Barton,"Barton, Will",W. Barton,will-barton,1991-01-06T00:00:00,Memphis,USA,Memphis/USA,6-6,181,8,5,Guard,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,will_barton,2012,2020,Y,Y,Y,2012,2,40
28,1629626,Bol,Bol,Bol Bol,"Bol, Bol",B. Bol,bol-bol,1999-11-16T00:00:00,Oregon,Sudan,Oregon/Sudan,7-2,220,1,10,Center-Forward,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,bol_bol,2019,2020,Y,Y,Y,2019,2,44
29,1630267,Facundo,Campazzo,Facundo Campazzo,"Campazzo, Facundo",F. Campazzo,facundo-campazzo,1991-03-23T00:00:00,Murcia,Argentina,Murcia/Argentina,5-10,195,0,7,Guard,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,facundo_campazzo,2020,2020,N,Y,Y,Undrafted,Undrafted,Undrafted
30,1628427,Vlatko,Cancar,Vlatko Cancar,"Cancar, Vlatko",V. Cancar,vlatko-cancar,1997-04-10T00:00:00,San Pablo Burgos,Slovenia,San Pablo Burgos/Slovenia,6-8,236,1,31,Forward,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,vlatko_cancar,2019,2020,Y,Y,Y,2017,2,49
31,1629109,Gary,Clark,Gary Clark,"Clark, Gary",G. Clark,gary-clark,1994-11-16T00:00:00,Cincinnati,USA,Cincinnati/USA,6-6,225,2,12,Forward,Active,Y,1610612755,76ers,PHI,sixers,Philadelphia,gary_clark,2018,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
