,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022000019,475,1630267,Facundo Campazzo,1610612743,Denver Nuggets,3,2,27,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,229,35,1,1,20201223,DEN,SAC
1,Shot Chart Detail,0022000044,677,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,1,42,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-40,53,1,0,20201228,DEN,HOU
2,Shot Chart Detail,0022000055,135,1630267,Facundo Campazzo,1610612743,Denver Nuggets,1,0,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,136,215,1,0,20201229,SAC,DEN
3,Shot Chart Detail,0022000055,453,1630267,Facundo Campazzo,1610612743,Denver Nuggets,3,0,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,47,248,1,0,20201229,SAC,DEN
4,Shot Chart Detail,0022000055,487,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,11,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,112,226,1,0,20201229,SAC,DEN
5,Shot Chart Detail,0022000088,172,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,11,41,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,11,1,0,20210103,MIN,DEN
6,Shot Chart Detail,0022000088,222,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,7,6,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,20,1,1,20210103,MIN,DEN
7,Shot Chart Detail,0022000088,508,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,8,36,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,26,1,1,20210103,MIN,DEN
8,Shot Chart Detail,0022000088,528,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,6,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,137,209,1,0,20210103,MIN,DEN
9,Shot Chart Detail,0022000088,546,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,5,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,163,184,1,1,20210103,MIN,DEN
10,Shot Chart Detail,0022000088,562,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,4,31,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,5,1,1,20210103,MIN,DEN
11,Shot Chart Detail,0022000088,585,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,2,33,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,58,1,1,20210103,MIN,DEN
12,Shot Chart Detail,0022000088,591,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,1,53,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,6,1,0,20210103,MIN,DEN
13,Shot Chart Detail,0022000104,198,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,10,17,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,4,32,1,1,20210105,DEN,MIN
