,player_data,player_data,player_data,player_data,player_data,player_data,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt,Corner 3,Corner 3,Corner 3
,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
0,203932,Aaron Gordon,Aaron,1610612743,DEN,25.0,59,84,0.702,20,37,0.541,7,21,0.333,4.0,11.0,0.364,3,10,0.3,10,42,0.238,0.0,1.0,0.0,7,21,0.333
1,203085,Austin Rivers,Austin,1610612743,DEN,28.0,15,24,0.625,3,10,0.3,1,4,0.25,4.0,7.0,0.571,1,9,0.111,22,56,0.393,0.0,0.0,0.0,5,16,0.313
2,1629626,Bol Bol,Bol,1610612743,DEN,21.0,10,12,0.833,2,8,0.25,4,14,0.286,1.0,1.0,1.0,0,2,0.0,8,21,0.381,0.0,0.0,0.0,1,3,0.333
3,1630267,Facundo Campazzo,Facundo,1610612743,DEN,30.0,28,49,0.571,13,37,0.351,3,13,0.231,17.0,31.0,0.548,10,30,0.333,49,153,0.32,0.0,2.0,0.0,27,61,0.443
4,1629109,Gary Clark,Gary,1610612755,PHI,26.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
5,203914,Gary Harris,Gary,1610612753,ORL,26.0,37,55,0.673,4,15,0.267,4,11,0.364,9.0,23.0,0.391,9,15,0.6,6,37,0.162,0.0,0.0,0.0,18,38,0.474
6,204222,Greg Whittington,Greg,1610612743,DEN,28.0,0,0,0.0,0,0,0.0,0,1,0.0,,,,0,1,0.0,0,1,0.0,,,,0,1,0.0
7,1628392,Isaiah Hartenstein,Isaiah,1610612739,CLE,23.0,35,61,0.574,6,18,0.333,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
8,203210,JaMychal Green,JaMychal,1610612743,DEN,31.0,71,112,0.634,17,40,0.425,6,24,0.25,17.0,38.0,0.447,7,19,0.368,55,141,0.39,0.0,0.0,0.0,24,57,0.421
9,201580,JaVale McGee,JaVale,1610612743,DEN,33.0,25,37,0.676,6,19,0.316,1,7,0.143,0.0,0.0,0.0,0,0,0.0,0,4,0.0,0.0,0.0,0.0,0,0,0.0
10,1627750,Jamal Murray,Jamal,1610612743,DEN,24.0,94,131,0.718,63,127,0.496,92,218,0.422,11.0,24.0,0.458,10,19,0.526,108,272,0.397,0.0,1.0,0.0,21,43,0.488
11,1630210,Markus Howard,Markus,1610612743,DEN,22.0,9,15,0.6,7,11,0.636,6,15,0.4,1.0,4.0,0.25,3,3,1.0,14,58,0.241,0.0,0.0,0.0,4,7,0.571
12,1629008,Michael Porter Jr.,Michael,1610612743,DEN,22.0,172,222,0.775,44,95,0.463,57,118,0.483,26.0,51.0,0.51,18,40,0.45,126,289,0.436,0.0,2.0,0.0,44,91,0.484
13,1628420,Monte Morris,Monte,1610612743,DEN,25.0,77,108,0.713,28,77,0.364,30,68,0.441,5.0,22.0,0.227,6,18,0.333,40,92,0.435,0.0,2.0,0.0,11,40,0.275
14,203999,Nikola Jokic,Nikola,1610612743,DEN,26.0,275,392,0.702,244,429,0.569,121,235,0.515,3.0,4.0,0.75,1,5,0.2,88,225,0.391,0.0,3.0,0.0,4,9,0.444
15,1628408,PJ Dozier,PJ,1610612743,DEN,24.0,69,108,0.639,17,55,0.309,15,43,0.349,9.0,24.0,0.375,6,26,0.231,32,97,0.33,0.0,2.0,0.0,15,50,0.3
16,200794,Paul Millsap,Paul,1610612743,DEN,36.0,87,128,0.68,44,96,0.458,11,34,0.324,6.0,14.0,0.429,8,16,0.5,35,113,0.31,0.0,0.0,0.0,14,30,0.467
17,1630181,R.J. Hampton,R.J.,1610612753,ORL,20.0,10,20,0.5,5,13,0.385,5,9,0.556,0.0,0.0,0.0,3,6,0.5,2,11,0.182,0.0,1.0,0.0,3,6,0.5
18,1627885,Shaquille Harrison,Shaquille,1610612743,DEN,27.0,14,27,0.519,1,11,0.091,2,6,0.333,1.0,3.0,0.333,1,5,0.2,1,6,0.167,0.0,0.0,0.0,2,8,0.25
19,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,24.0,20,30,0.667,2,5,0.4,2,4,0.5,2.0,3.0,0.667,4,6,0.667,3,23,0.13,0.0,1.0,0.0,6,9,0.667
20,203115,Will Barton,Will,1610612743,DEN,30.0,97,172,0.564,35,108,0.324,29,71,0.408,14.0,26.0,0.538,10,22,0.455,74,208,0.356,0.0,1.0,0.0,24,48,0.5
21,1630192,Zeke Nnaji,Zeke,1610612743,DEN,20.0,22,30,0.733,1,8,0.125,3,7,0.429,2.0,8.0,0.25,9,17,0.529,13,34,0.382,0.0,0.0,0.0,11,25,0.44
